location_id,year,season,water_area_ha,water_body_count,data_quality
V001,2020,perennial,45.2,8,good
V001,2020,winter,32.1,6,good
V001,2020,monsoon,78.9,12,good
V001,2021,perennial,48.7,9,good
V001,2021,winter,35.4,7,good
V001,2021,monsoon,82.3,13,good
V001,2022,perennial,52.1,10,good
V001,2022,winter,38.9,8,good
V001,2022,monsoon,85.6,14,good
V002,2020,perennial,28.3,5,good
V002,2020,winter,18.7,4,good
V002,2020,monsoon,45.6,8,good
V002,2021,perennial,31.2,6,good
V002,2021,winter,22.1,5,good
V002,2021,monsoon,48.9,9,good
V002,2022,perennial,34.5,7,good
V002,2022,winter,25.8,6,good
V002,2022,monsoon,52.3,10,good
